"names"
"Michael A. Taylor"
"Jordan Walker"
"Christian Bethancourt"
"Christian Bethancourt"
"Christian Bethancourt"
"Kevin Kiermaier"
"Kevin Kiermaier"
"Kevin Kiermaier"
"Emmanuel Rivera"
"Emmanuel Rivera"
"Emmanuel Rivera"
"Cavan Biggio"
"Cavan Biggio"
"Cavan Biggio"
"Cavan Biggio"
"Cavan Biggio"
"Austin Hays"
"Austin Hays"
"Austin Hays"
"Miguel Vargas"
"Miguel Vargas"
"Miguel Vargas"
"Ronald Acuña Jr."
"Miguel Andujar"
"Luis Arráez"
"Luis Arráez"
"Luis Arráez"
"Brett Baty"
"Bo Bichette"
"Dairon Blanco"
"Matt Carpenter"
"Andrés Chaparro"
"J.D. Davis"
"J.D. Davis"
"J.D. Davis"
"Adrian Del Castillo"
"Brandon Drury"
"Mauricio Dubón"
"Wilmer Flores"
"Nick Fortes"
"Adam Frazier"
"Ke'Bryan Hayes"
"Jose Iglesias"
"Leo Jiménez"
"Niko Kavadas"
"Heston Kjerstad"
"Martín Maldonado"
"Manuel Margot"
"Noelvi Marté"
"Zach McKinstry"
"Elehuris Montero"
"James Outman"
"Víctor Robles"
"Víctor Robles"
"Víctor Robles"
"Trey Sweeney"
"Chris Taylor"
"Luis Urías"
"Brett Wisely"
"Whit Merrifield"
"Whit Merrifield"
"Whit Merrifield"
"Tomás Nido"
"Tomás Nido"
"Tomás Nido"
"Joey Loperfido"
"Joey Loperfido"
"Joey Loperfido"
"Luisangel Acuña"
"Blaze Alexander"
"Gabriel Arias"
"Jordan Beck"
"Alex Call"
"Dylan Carlson"
"Dylan Carlson"
"Dylan Carlson"
"Griffin Conine"
"Billy Cook"
"Dylan Crews"
"David Dahl"
"Ezequiel Durán"
"Estevan Florial"
"Robbie Grossman"
"Robbie Grossman"
"Robbie Grossman"
"Robbie Grossman"
"Brett Harris"
"Alex Jackson"
"Nolan Jones"
"Corey Julks"
"Brooks Lee"
"Rafael Marchán"
"Ángel Martínez"
"Reese McGuire"
"Danny Mendick"
"Joey Meneses"
"Dane Myers"
"Kevin Newman"
"Geraldo Perdomo"
"Bryan Ramos"
"Johan Rojas"
"Ben Rortvedt"
"Eguy Rosario"
"José Tena"
"José Tena"
"José Tena"
"Alek Thomas"
"Luis Torrens"
"Weston Wilson"
"Jacob Young"
"Amed Rosario"
"Amed Rosario"
"Amed Rosario"
"Amed Rosario"
"Amed Rosario"
"Kyle Stowers"
"Kyle Stowers"
"Kyle Stowers"
"José Abreu"
"Riley Adams"
"Akil Baddoo"
"Luken Baker"
"Brooks Baldwin"
"Ryan Bliss"
"Vidal Bruján"
"Kris Bryant"
"Zach Dezenzo"
"Jasson Domínguez"
"Christian Encarnacion-Strand"
"Sal Frelick"
"Avisaíl García"
"Yan Gomes"
"Austin Hedges"
"Charles Leblanc"
"Jung Hoo Lee"
"DJ LeMahieu"
"Tyler Locklear"
"Luke Maile"
"Ryan McKenna"
"Ryan McKenna"
"Ryan McKenna"
"Joshua Palacios"
"Graham Pauley"
"René Pinto"
"Esteury Ruiz"
"Miguel Sanó"
"Aaron Schunk"
"Victor Scott II"
"Michael Siani"
"Trevor Story"
"Matt Thaiss"
"Eric Wagaman"
"Will Wagner"
"Jamie Westbrook"
"Nick Yorke"
"Nick Ahmed"
"Nick Ahmed"
"Nick Ahmed"
"Nick Ahmed"
"Harold Ramírez"
"Harold Ramírez"
"Harold Ramírez"
"Austin Slater"
"Austin Slater"
"Austin Slater"
"Austin Slater"
"Austin Slater"
"Jordyn Adams"
"Ehire Adrianza"
"Nick Allen"
"Austin Barnes"
"Jon Berti"
"Sean Bouchard"
"Trey Cabbage"
"Gustavo Campero"
"Alexander Canario"
"Curt Casali"
"Jonatan Clase"
"Jonatan Clase"
"Jonatan Clase"
"Garrett Cooper"
"Garrett Cooper"
"Garrett Cooper"
"Brandon Crawford"
"Bobby Dalbec"
"Henry Davis"
"Zach DeLoach"
"Dillon Dingler"
"Logan Driscoll"
"Blake Dunn"
"Oliver Dunn"
"Xavier Edwards"
"Dominic Fletcher"
"Mike Ford"
"Ben Gamel"
"Ben Gamel"
"Ben Gamel"
"Stone Garrett"
"Dustin Harris"
"David Hensley"
"Darell Hernaiz"
"José Herrera"
"Aaron Hicks"
"Travis Jankowski"
"Jahmai Jones"
"Greg Jones"
"DaShawn Keirsey"
"Buddy Kennedy"
"Buddy Kennedy"
"Buddy Kennedy"
"Andrew Knizner"
"Ryan Kreidler"
"Trey Lipscomb"
"Brandon Lockridge"
"Nick Loftin"
"Nicky Lopez"
"Jack López"
"Nathan Lukes"
"Bligh Madris"
"Austin Martin"
"Curtis Mead"
"Drew Millas"
"Andruw Monasterio"
"Tom Murphy"
"Ryan Noda"
"Cristian Pache"
"Cristian Pache"
"Cristian Pache"
"Cristian Pache"
"Cristian Pache"
"Kyren Paris"
"Oswald Peraza"
"Jakson Reetz"
"Thomas Saggese"
"Austin Shenton"
"Braden Shewmake"
"Garrett Stubbs"
"Brett Sullivan"
"Ildemaro Vargas"
"Ryan Vilade"
"David Villar"
"Daniel Vogelbach"
"Taylor Walls"
"Jared Walsh"
"Donovan Walton"
"Davis Wendzel"
"Eli White"
"Seby Zavala"
"Kevin Alcántara"
"CJ Alexander"
"Nacho Alvarez Jr."
"Eddy Alvarez"
"Armando Alvarez"
"Adael Amador"
"Jacob Amaya"
"Jacob Amaya"
"Jacob Amaya"
"Tim Anderson"
"Brian Anderson"
"Chase Anderson"
"Pedro Avila"
"José Azocar"
"Ji Hwan Bae"
"Darren Baker"
"David Bañuelos"
"Tucker Barnhart"
"Jorge Barrosa"
"Matthew Batten"
"Mike Baumann"
"Mike Baumann"
"Mike Baumann"
"Jalen Beeks"
"Brennan Bernardino"
"Steward Berroa"
"Tyler Black"
"Travis Blankenhorn"
"David Bote"
"Rob Brantly"
"John Brebbia"
"Jhony Brito"
"Trenton Brooks"
"Kris Bubic"
"Génesis Cabrera"
"Jair Camargo"
"Isaiah Campbell"
"Conner Capel"
"Vinny Capra"
"Diego Castillo"
"Luis Castillo"
"Oscar Colás"
"Isaac Collins"
"Danny Coulombe"
"Jeff Criswell"
"Fernando Cruz"
"Jason Delay"
"Luis De Los Santos"
"José Devers"
"Edwin Díaz"
"Aledmys Díaz"
"Aledmys Díaz"
"Aledmys Díaz"
"Alexis Díaz"
"Jake Diekman"
"Seranthony Domínguez"
"Matt Duffy"
"Duke Ellis"
"Duke Ellis"
"Duke Ellis"
"Mason Englert"
"Sandro Fabian"
"Buck Farmer"
"Hunter Feduccia"
"José Fermín"
"Ryan Fernandez"
"Kyle Finnegan"
"David Fletcher"
"Jason Foley"
"Justin Foscue"
"Kyle Freeland"
"Luis Frías"
"Hunter Gaddis"
"Aramis Garcia"
"Mickey Gasper"
"Tyler Gentry"
"Kevin Ginkel"
"Niko Goodrum"
"Niko Goodrum"
"Niko Goodrum"
"Yuli Gurriel"
"Tristan Gray"
"Tristan Gray"
"Tristan Gray"
"Chad Green"
"Vaughn Grissom"
"Luis Guillorme"
"Luis Guillorme"
"Luis Guillorme"
"Luis Guillorme"
"Luis Guillorme"
"Josh Hader"
"Sam Haggerty"
"Seth Halvorsen"
"Garrett Hampson"
"Hunter Harvey"
"Jonathan Heasley"
"Tyler Heineman"
"Tyler Heineman"
"Tyler Heineman"
"Michael Helman"
"Ryan Helsley"
"Kevin Herget"
"Jonathan Hernández"
"Brewer Hicklen"
"Keston Hiura"
"Porter Hodge"
"Spencer Howard"
"Joe Hudson"
"Sam Huff"
"Cooper Hummel"
"Jacob Hurtubise"
"Kenley Jansen"
"Bryce Jarvis"
"Bryce Johnson"
"Daniel Johnson"
"Levi Jordan"
"Jace Jung"
"Tony Kemp"
"Grae Kessinger"
"Craig Kimbrel"
"Bryan King"
"John King"
"Tyler Kinley"
"Andrew Kittredge"
"Andrew Knapp"
"Grant Koch"
"Matt Koch"
"Michael Kopech"
"Peter Lambert"
"Jacob Latz"
"Derek Law"
"Justin Lawrence"
"Kyle Leahy"
"José Leclerc"
"Pedro León"
"Jorge López"
"Marco Luciano"
"Nick Madrigal"
"Joe Mantiply"
"Cade Marlowe"
"Orelvis Martínez"
"Justin Martínez"
"Chris Martin"
"J.P. Martínez"
"Miles Mastrobuoni"
"Nick Maton"
"Coby Mayo"
"James McArthur"
"Mason McCoy"
"Scott McGough"
"Billy McKinney"
"Nick Mears"
"Trevor Megill"
"Julian Merryweather"
"Matt Mervis"
"Owen Miller"
"Hoby Milner"
"Kameron Misner"
"Yoán Moncada"
"Omar Narváez"
"Carlos Narváez"
"Héctor Neris"
"Nasim Nuñez"
"Jonathan Ornelas"
"Rafael Ortega"
"Joel Payamps"
"Elvis Peguero"
"Liover Peguero"
"Zach Penrod"
"Jhonny Pereda"
"Jace Peterson"
"Ryan Pressly"
"A.J. Puk"
"José Quijada"
"Zach Remillard"
"Anthony Rendon"
"Pablo Reyes"
"Pablo Reyes"
"Pablo Reyes"
"Edwin Ríos"
"Leo Rivas"
"David Robertson"
"Chuckie Robinson"
"Yerry Rodríguez"
"Johnathan Rodríguez"
"Chris Roller"
"JoJo Romero"
"Drew Romo"
"Blake Sabol"
"César Salazar"
"Alí Sánchez"
"Javier Sanoja"
"Brian Serven"
"Paul Sewald"
"Zack Short"
"Zack Short"
"Zack Short"
"Zack Short"
"Zack Short"
"Chase Shugart"
"Lucas Sims"
"Kevin Smith"
"Nick Sogard"
"Liván Soto"
"Liván Soto"
"Liván Soto"
"Ryne Stanek"
"Michael Stefanic"
"Cal Stevenson"
"Myles Straw"
"Albert Suárez"
"Samad Taylor"
"Bryce Teodosio"
"Bubba Thompson"
"Ryan Thompson"
"Trent Thornton"
"Taylor Trammell"
"Taylor Trammell"
"Taylor Trammell"
"Alan Trejo"
"Chadwick Tromp"
"Cole Tucker"
"José Ureña"
"Luis Vázquez"
"Victor Vodnik"
"Jason Vosler"
"Austin Voth"
"Tyler Wade"
"Forrest Wall"
"Forrest Wall"
"Forrest Wall"
"Drew Waters"
"Jacob Webb"
"Joey Wendle"
"Shay Whitcomb"
"Mitch White"
"Owen White"
"Joey Wiemer"
"Joey Wiemer"
"Joey Wiemer"
"Luke Williams"
"Alika Williams"
"Justin Wilson"
"Jacob Wilson"
"Josh Winckowski"
"Austin Wynns"
"Eric Yang"
"Kirby Yates"
"Alex Young"
"Guillo Zuñiga"
